No,full_text,username
38,"Pemerintah memutuskan memangkas anggaran untuk program makan bergizi gratis anak dan ibu hamil dari Rp 15.000 menjadi Rp 10.000 per orang. Hal itu menurut ekonom tidak akan berdampak signifikan pada perekonomian. Asumsinya, dengan anggaran Rp. 10 ribu per orang keluarga yang https://t.co/VESjT8Kmai",RadioElshinta
39,Hasan Nasbi Tekankan Program Makan Bergizi Gratis Anggaran Rp 10.000 Per Porsi Itu Cukup https://t.co/0X7E2Q3AEz lewat @Keuangan News,keuangannews_id
40,"Melibatkan ibu adalah kunci keberhasilan program makan bergizi gratis 💚💚 @cakiminow 

#makanbergizigratis #gusmuhaimin #menkopm https://t.co/M0nGLcTHhv",voiceofpkb
41,Belajar dari Brasil dalam Program Makan Bergizi Gratis https://t.co/6slfIohQkL,OposisiCerdas
42,"Kali ini program makan siang bergizi gratis digelar di SDN Gintungkerta 1, Kecamatan Klari,...
https://t.co/3YCG0zSlzf",antmegapolitan
43,"""Dalam rangka memberikan perlidungan dan jaminan sosial kepada Penyandang Disabilitas, Kementerian sosial pada tahun 2025 telah merencanakan empat program bagi penyandang disabilitas, salah satunya program makan bergizi gratis dua kali sehari kepada 42 ribu orang penyandang https://t.co/iZDSmkPowQ",RadioElshinta
44,"Makan Bergizi Gratis: Bukan Sekadar Program 🍎

Prabowo-Gibran tahu, makan bergizi adalah langkah awal melawan stunting.

Tapi gimana caranya agar program ini tepat sasaran?

Yuk, #PantauPrabowo bersama-sama! 🍚

📍https://t.co/838NmIEEIh https://t.co/cFDHwJakMR",ConversationIDN
45,Hari ini kami simulasi program Makan Bergizi Gratis di SDN Anggadita I. Kali ini kami menyiapkan 928 paket makanan untuk dibagikan. https://t.co/ylt2IRQax6,antmegapolitan
46,"Sambut Prabowo di NTT, Warga Kupang Optimistis dengan Program Makan Bergizi Gratis

Kupang — Para masyarakat Nusa Tenggara Timur (NTT) menyambut antusias kedatangan Presiden RI Prabowo Subianto di Kupang. Salah satu dari mereka pun mengaku optimistis dengan program Makan Bergizi https://t.co/GCSmINKFYQ",RadioElshinta
47,"Sejumlah perwakilan masyarakat yang menyambut antusias kedatangan Presiden  Prabowo Subianto di Kupang selasa malam, menyampaikan harapan besar terhadap program Makan Bergizi Gratis (MBG) yang digagas Presiden Prabowo Subianto untuk bisa segera dirasakan manfaatnya.",99propaganda
48,"Warga Kupang Optimistis dengan Program Makan Bergizi Gratis yang Digencarkan Prabowo
https://t.co/VZdZgTHU0d",Beritasatu
49,"Karangasem Belum Anggarkan Program Makan Bergizi Gratis Untuk Siswa #BNetwork
https://t.co/DYhp4ITIhN",Beritasatu
50,"Kementerian Sosial (Kemensos) telah merencanakan empat program bagi penyandang disabilitas di 2025 dalam rangka memberikan perlindungan dan jaminan sosial kepada para difabel. keempat program itu meliputi Program makan bergizi Gratis, Program Keluarga Harapan, Bantuan Pangan Non https://t.co/aoqwzfCG5D",RadioElshinta
51,"Kemenkop Dorong Penguatan Peran Koperasi dalam Program Makan Bergizi Gratis
https://t.co/wAsJBO8qKJ",Beritasatu
52,Prabowo Tak Ambil Pusing Harga Index Saham Turun dengan Program Makan Bergizi Gratis -  https://t.co/ipBPMjEdVL https://t.co/LVR9pT4X01,Joglosemarnews
53,"Warga Harap Program Makan Bergizi Gratis Prabowo Bisa Bantu Anak-Anak di NTT
https://t.co/Ot8tedDzRs",holopiscom
54,"Ketika TNI AU Turun Ikut Sukseskan Program Makan Bergizi Gratis

https://t.co/g85lzxPjZG",VIVAcoid
55,"Prabowo Diancam-ancam Jalankan Program Rakyat, Termasuk Makan Bergizi Gratis
https://t.co/N766ZshhrR",holopiscom
56,"Badan Pangan Nasional (Bapanas) melaksanakan kajian untuk menentukan menu program Makan Bergizi Gratis (MBG) sesuai dengan potensi bahan pangan yang diproduksi di setiap daerah di Indonesia.

Berikut daftar menu Makan Bergizi Gratis di berbagai daerah.

#bisnisupdate #update https://t.co/ehOvULnDPU",kumparan
57,"Badan Pangan Nasional (Bapanas) melaksanakan kajian untuk menentukan menu program Makan Bergizi Gratis (MBG) sesuai dengan potensi bahan pangan yang diproduksi di setiap daerah di Indonesia.

Berikut daftar menu Makan Bergizi Gratis di berbagai daerah.

#bisnisupdate #update https://t.co/jPR8a7nHKH",kumparan
58,"POLDA KEPRI BERSINERGI LAKSANAKAN RAPAT KOORDINASI: SUKSESKAN PROGRAM MAKAN BERGIZI GRATIS

.
.

@divisihumaspolri @polripresisi @mabespolrinews @ini_polisi @polisi_indonesia @halo_polisi 

#HumasPoldaKepri #Multimediapoldakepri 
#Prabowopresidenri https://t.co/My9KFZP7vD",poldakeprihumas
59,"PGN Dukung Program Makan Bergizi Gratis
#makanbergizi #programmakangratis #programpresiden #BadanGiziNasional #infrastrukturjaringangas @Gas_Negara 

https://t.co/JpiXdybRax",InilahMojokerto
60,"Pulang dari luar negeri setelah lawatan sejak 8 November, Presiden Prabowo Subianto membawa komitmen sejumlah negara untuk mewujudkan program makan bergizi gratis.

#tempoplus #tempo #prabowosubianto #makan #bergizi #gratis https://t.co/rgUDtMXh9S",Tempo_Plus
61,"Pemprov Lampung Harap Program Makan Bergizi Gratis Tingkatkan Ekonomi Lokal

https://t.co/wtAzRCoVvJ",kupastuntasnew
62,"F-PKS Dukung One Day One Fish untuk Program Makan Bergizi Gratis 🇮🇩

|| Riyono (Anggota Komisi IV DPR RI dari F-PKS)

#fraksipksdprri 
#PKSpembelaRakyat 
#PKS https://t.co/G08j4n7YfB",FPKSDPRRI
