,full_text,id_str,created_at,username,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,image_url,mentions,mention_count,target
209,"Lonjakan biaya UKT di PTN saat ini menjadi ancaman nyata yang mengubah pendidikan tinggi dari hak warga negara menjadi privilege kelompok elite. Ketika anggaran pendidikan justru dialokasikan untuk program Makan Bergizi Gratis (MBG), negara tampak sedang melakukan kebijakan https://t.co/UeDzC1g76K",2046804733378379971,2026-04-22 04:14:10+00:00,kenhans03,in,,0,4,12,26,https://x.com/kenhans03/status/2046804733378379971,https://pbs.twimg.com/ext_tw_video_thumb/2046804701463867393/pu/img/IV2f_FUYfH3Msp9g.jpg,[],0,
183,"Dulu cuma makan nasi sama garam, sekarang anak-anak bisa menikmati buah, susu, dan makanan bergizi berkat program MBG. Perubahan kecil yang membawa harapan besar untuk masa depan generasi bangsa ✍️🥹

#BeneranBerasaKorea
Pagii #BTSJIN https://t.co/yWIT7OiopJ",2047156539069534614,2026-04-23 03:32:07+00:00,BenaDinata01,in,,0,0,0,4,https://x.com/BenaDinata01/status/2047156539069534614,https://pbs.twimg.com/ext_tw_video_thumb/2047156473281871873/pu/img/7TtFtN3CVh9IbejJ.jpg,[],0,
200,Efektivitas Makan Bergizi Gratis terlihat dari dampak positif yang dirasakan langsung oleh masyarakat #MBG #MakanBergiziGratis https://t.co/bM4Nghqti5,2047162446897623448,2026-04-23 03:55:36+00:00,RosaJaanne,in,,0,0,0,1,https://x.com/RosaJaanne/status/2047162446897623448,https://pbs.twimg.com/media/HGj7XrBaYAAcv9K.jpg,[],0,
44,"Kepala Badan Gizi Nasional (BGN) Dadan Hindayana meluruskan bahwa pernyataannya terkait kebutuhan 19.000 ekor sapi untuk Program Makan Bergizi Gratis (MBG), hanya merupakan simulasi atau pengandaian perhitungan.

Baca Selengkapnya di: https://t.co/2sA7bpzb6Q

~AC #BGN https://t.co/YoGBpU2OJB",2047210136696246557,2026-04-23 07:05:06+00:00,kompascom,in,,0,20,2,0,https://x.com/kompascom/status/2047210136696246557,https://pbs.twimg.com/amplify_video_thumb/2047210010888065025/img/0mfAIywEqgw3EFdW.jpg,[],0,
12,"Hanya Simulasi terkait Kenutuhan Daging Sapi dalam Program MBG 😂

Kepala Badan Gizi Nasional (BGN) Dadan Hindayana mengklarifikasi pernyataannya yang menyebut kebutuhan daging sapi dalam program makan bergizi gratis (MBG) mencapai 19 ribu ekor per hari. Dadan mengatakan angka https://t.co/qwaxMVTYeD",2047283029027287451,2026-04-23 11:54:45+00:00,Jateng_Twit,in,,0,14,2,6,https://x.com/Jateng_Twit/status/2047283029027287451,https://pbs.twimg.com/media/HGlpD8oakAADDuk.jpg,[],0,
187,"Program tersebut mewajibkan dapur pelaksana Makan Bergizi Gratis (MBG) memiliki sejumlah sertifikasi, seperti laik higiene, halal, dan Hazard Analysis and Critical Control Point (HACCP), guna menjamin kualitas dan keamanan pangan. 

Namun, anggota DPR RI, Irma Suryani Chaniago,",2047284115020603846,2026-04-23 11:59:04+00:00,Jateng_Twit,in,,0,0,0,12,https://x.com/Jateng_Twit/status/2047284115020603846,,[],0,
193,"Isu 19 Ribu Sapi untuk MBG Disorot, BGN Jelaskan Kenapa Daging Jarang Muncul

Pernyataan Kepala Badan Gizi Nasional (BGN), Dadan Hindayana, soal 19 ribu ekor sapi untuk program makan bergizi gratis (MBG) sempat menuai sorotan. Pasalnya, menu daging sapi dinilai jarang muncul. https://t.co/dapfIfBa7j",2047329730568065527,2026-04-23 15:00:19+00:00,Melihat_Indo,in,,0,14,1,1,https://x.com/Melihat_Indo/status/2047329730568065527,https://pbs.twimg.com/media/HGmTiOqbIAAcu4p.jpg,[],0,
144,"MBG ( Makan Bergizi Gratis ) Kalau yang buat AI, GPT 5.5 dengan Codex!

Berasa banget aura nasionalismenya! Bandingkan sama Web BGN disebelah kanan. https://t.co/albwY1SkvI",2047511493512716773,2026-04-24 03:02:35+00:00,F2aldi,in,,1,13,14,178,https://x.com/F2aldi/status/2047511493512716773,https://pbs.twimg.com/media/HGo42ENbkAA5tIb.jpg,[],0,
20,"versi online bisa check disini, disclaimer juga. Ini ga dibayar, bukan official juga yaa.

https://t.co/T8JKTnrTOx https://t.co/4jp1C2ByGS",2047511565256241647,2026-04-24 03:02:52+00:00,F2aldi,in,,0,0,0,6,https://x.com/F2aldi/status/2047511565256241647,https://pbs.twimg.com/amplify_video_thumb/2047511507240701952/img/19XpFO48v3sImMCr.jpg,[],0,
145,"“Dadan menyebut pihaknya tidak mungkin bekerja sendirian dalam proses pengadaan ini. Ia menepis isu bahwa pengadaan motor listrik untuk program Makan Bergizi Gratis dilakukan secara sepihak tanpa persetujuan Kementerian Keuangan”

&gt; Yang benar mana nih?😳
https://t.co/9DKCInrUhl? https://t.co/aDM3smtpDu",2047607065963859999,2026-04-24 09:22:21+00:00,King_PWS_,in,,0,5,8,13,https://x.com/King_PWS_/status/2047607065963859999,https://pbs.twimg.com/media/HGqPxQRbIAAPdLl.jpg,[],0,
192,"Program Makan Bergizi Gratis menjadi wujud nyata transformasi gizi bangsa, memperkuat pilar MBG yang kokoh dalam menciptakan generasi sehat, cerdas, dan berkualitas sebagai fondasi masa depan Indonesia.
#PROGRAMMBG
#MAKANBERGIZIGRATIS
#TRANSFORMASIGIZIBANGSA https://t.co/IuSSrjgj4a",2047818492414734565,2026-04-24 23:22:29+00:00,Vifirukmini,in,,0,0,0,1,https://x.com/Vifirukmini/status/2047818492414734565,https://pbs.twimg.com/media/HGtQD2DaAAAjpWM.jpg,[],0,
40,"Program Makan Bergizi Gratis (MBG) memang datang dengan tantangan besar, dari distribusi yang kompleks, risiko keamanan pangan, sampai beban anggaran negara yang tidak sedikit.

Tapi tujuannya satu, meningkatkan kualitas manusia Indonesia dari hal paling dasar: Gizi!

Prof. Arif https://t.co/qgBYiMXkeY",2048240062132043899,2026-04-26 03:17:39+00:00,kompascom,in,,34,192,20,72,https://x.com/kompascom/status/2048240062132043899,https://pbs.twimg.com/amplify_video_thumb/2048239491979288577/img/hMH_RQTN3OAlQUWk.jpg,[],0,
6,Wkwkwkwk... Rakyat harus terus kekurangan gizi agar program Makan Bergizi Gratis (MBG) tetap relevan selama 25 tahun https://t.co/5Om1hdR7ii,2048272803653415089,2026-04-26 05:27:46+00:00,salam4jari,in,,2,7,48,117,https://x.com/salam4jari/status/2048272803653415089,https://pbs.twimg.com/media/HGztQoHagAAC84s.jpg,[],0,
28,"Kepala Badan pengawas Obat dan Makanan (BPOM) RI, Taruna Ikrar, mengakui belum pernah sama sekali melakukan uji sampling program Makan Bergizi Gratis sejak program tersebut berjalan. https://t.co/HKXlikH6Ay",2048453310898995548,2026-04-26 17:25:02+00:00,blue_berets7,in,,0,1,14,13,https://x.com/blue_berets7/status/2048453310898995548,https://pbs.twimg.com/amplify_video_thumb/2048453230586449920/img/ja4qF0hW2Bzq3_XY.jpg,[],0,
171,"*Program MBG Dorong Rantai Pasok Lokal, Budidaya Lele Jadi Tulang Punggung*

Blora, 26 April 2026 - Program Makan Bergizi Gratis (MBG) tidak hanya berperan dalam meningkatkan asupan gizi masyarakat, tetapi mendorong terbentuknya rantai pasok pangan lokal berbasis komunitas. https://t.co/ESOwaqdz9W",2048560461575274984,2026-04-27 00:30:49+00:00,NenkMonica,in,,1,1,6,10,https://x.com/NenkMonica/status/2048560461575274984,https://pbs.twimg.com/ext_tw_video_thumb/2048560195190878208/pu/img/IZZSLAGBQC0QXRGj.jpg,[],0,
84,Kolaborasi lintas sektor mempercepat pelaksanaan Program Makan Bergizi Gratis (MBG) https://t.co/owchE2Sico,2048580362255933535,2026-04-27 01:49:53+00:00,kenzoo_46,in,,0,0,0,1,https://x.com/kenzoo_46/status/2048580362255933535,https://pbs.twimg.com/media/HG4E-6taoAEsGIi.jpg,[],0,
191,"Rakyat butuh solusi yang langsung terasa di perut dan dompet. Program Makan Bergizi Gratis ini bukti kalau pemerintah nggak main-main soal kesejahteraan dari akar rumput. Nggak perlu banyak gaya, yang penting kerja nyata
 #LanjutkanMBG

El Rumi  Syifa Hadju Manohara https://t.co/BStGlpQxsR",2048603542576066711,2026-04-27 03:22:00+00:00,AnggelaTijam,in,,0,0,0,2,https://x.com/AnggelaTijam/status/2048603542576066711,https://pbs.twimg.com/ext_tw_video_thumb/2048603437559136256/pu/img/iq52uxtZgv1m3HhS.jpg,[],0,
158,"Personel Babinsa jajaran Kodim 1420/Sidrap melaksanakan kegiatan pendampingan penyaluran program Makan Bergizi Gratis di wilayah Kabupaten Sidrap, Senin (27/04/2026). https://t.co/TOyczgeyF6",2048623722345697714,2026-04-27 04:42:11+00:00,1420_sidrap,in,,0,0,0,2,https://x.com/1420_sidrap/status/2048623722345697714,https://pbs.twimg.com/media/HG4sajnasAAwCVH.jpg,[],0,
128,Makan bergizi gratis investasi masa depan bangsa. https://t.co/7qAl1SBhSv,2048628749550354580,2026-04-27 05:02:10+00:00,cingaran,in,,0,0,0,1,https://x.com/cingaran/status/2048628749550354580,https://pbs.twimg.com/media/HG4w_VRbEAAr7GO.jpg,[],0,
198,"Berkat program Makan Bergizi Gratis, ia bisa makan sehat tanpa biaya. Harapannya, program ini terus berlanjut karena sangat berdampak nyata bagi kesehatan dan kebahagiaan siswa di seluruh Indonesia. https://t.co/P6YG4bHnH0",2048637027563016561,2026-04-27 05:35:03+00:00,asepopek,in,,0,1,1,1,https://x.com/asepopek/status/2048637027563016561,https://pbs.twimg.com/ext_tw_video_thumb/2048636998622285824/pu/img/qDAW4st8lRP-tcVK.jpg,[],0,
111,"Guys, ada pernyataan dari APPMBGI yang menurut gue adalah salah satu yang paling perlu dikritisi dengan sangat teliti hari ini.

APPMBGI Asosiasi Pengusaha dan Pengelola Dapur Makan Bergizi Gratis Indonesia baru saja mengklaim dua hal sekaligus:

Satu: MBG berjalan mulus tanpa https://t.co/0pO9nUXgmA",2048652749856985270,2026-04-27 06:37:32+00:00,LambeSahamjja,in,,100,241,571,957,https://x.com/LambeSahamjja/status/2048652749856985270,https://pbs.twimg.com/media/HG5GTW3b0AAldCf.jpg,[],0,
137,"@Jumianto_RK @KayanaDuris BGN jagonya bikin program: Makan Bergizi Gratis, Rumah Bersubsidi Eksklusif. Yang gratis buat anak, yang subsidi buat pegawai. Yang nggak dapet apa-apa? Guru yang ngajarin anak.

Terlalu asuuu",2048657161413369990,2026-04-27 06:55:04+00:00,Alitt4mb3ng,in,,0,1,0,2,https://x.com/Alitt4mb3ng/status/2048657161413369990,,"['Jumianto_RK', 'KayanaDuris']",2,Jumianto_RK
122,"Sampang - Seorang warga mengabarkan bahwa sejumlah murid SDN Bira Tengah 1, Sokobanah, Sampang, mengalami reaksi alergi kulit setelah mengonsumsi menu Makan Bergizi Gratis (MBG) pada Rabu (22/04/26).

#JokowiPerusakRI 
#JokowiPerusakRI https://t.co/LJuGnGhcrY",2048658030921969801,2026-04-27 06:58:31+00:00,M3di4Upd4t3,in,,3,2,61,56,https://x.com/M3di4Upd4t3/status/2048658030921969801,https://pbs.twimg.com/ext_tw_video_thumb/2048658012668329984/pu/img/cHcLj-yXQA-aw4nj.jpg,[],0,
173,"@kangdede78 yang nulis program makan bergizi mengambil anggaran pendidikan dan kesehatan, bukan saya, tapi buku ini ✍️👇 https://t.co/0lEYOGO02a",2048665565670297831,2026-04-27 07:28:27+00:00,zanatul_91,in,,0,11,30,126,https://x.com/zanatul_91/status/2048665565670297831,https://pbs.twimg.com/media/HG5SeX8a0AAfV-N.jpg,['kangdede78'],1,kangdede78
55,@KSN_Garing Program makan gratis Nabi sulaiman juga gagal pada akhirnya!,2048673440769683499,2026-04-27 07:59:45+00:00,nbsjbmvtjbob,in,,0,1,0,1,https://x.com/nbsjbmvtjbob/status/2048673440769683499,,['KSN_Garing'],1,KSN_Garing
202,"Baca di sini: https://t.co/uxerg3EO7Y

Wakil Kepala Badan Gizi Nasional (BGN) Bidang Komunikasi Publik dan Investigasi Nanik Sudaryati Deyang menjelaskan kronologi meninggalnya seorang balita di Cianjur, Jawa Barat, yang disebut karena mengonsumsi Makan Bergizi Gratis (MBG).

~AC https://t.co/FcaXztpJUM",2048673805267276095,2026-04-27 08:01:12+00:00,kompascom,in,,0,0,0,1,https://x.com/kompascom/status/2048673805267276095,https://pbs.twimg.com/amplify_video_thumb/2048673641676804096/img/wg1QR0PRjzanWZF0.jpg,[],0,
112,Fokus MBG diperjelas untuk memastikan Program Makan Bergizi Gratis benar-benar tepat sasaran bagi anak yang paling membutuhkan dan memberi dampak nyata bagi generasi sehat Indonesia #fyp #fypシ #viral #tiktokindonesia #trending #indonesia #beritaterkini #generasisehat #MBG https://t.co/6ZjrlU96zb,2048676848536780967,2026-04-27 08:13:17+00:00,AngkasaAyani,in,,0,0,0,1,https://x.com/AngkasaAyani/status/2048676848536780967,https://pbs.twimg.com/media/HG5cvK6acAAnhCs.jpg,[],0,
