Column1;full_text;id_str;created_at;username;lang;location;quote_count;reply_count;retweet_count;favorite_count;tweet_url;image_url;mentions;mention_count;target
359;MBG bukan cuma soal makan gratis, tapi game changer buat anak-anak Papua. Mereka jadi lebih rajin ke sekolah, lebih fokus belajar karena nggak lagi lapar. Ditambah menu yang lezat dan bergizi, bikin semangat belajar makin naik. https://t.co/tmD9AdP1Uo;2,04932E+18;46141,42052;RD_4WR1212;in;;0;0;0;0;https://x.com/RD_4WR1212/status/2049324179519090992;https://pbs.twimg.com/media/HHCpejJaAAAgbxz.jpg;[];0;
360;"Saat di dalam negeri masih banyak yang ragu, ASEAN justru sudah mulai melirik dan belajar dari program Makan Bergizi Gratis (MBG) Indonesia! 
#MakanBergiziGratis #IndonesiaHebat #ASEAN #GiziNasional #SDMUnggul https://t.co/6LbX98XlCG";2,04933E+18;46141,42517;Inullnj;in;;0;0;0;1;https://x.com/Inullnj/status/2049325865704779803;https://pbs.twimg.com/media/HHCrA3SawAANM6j.jpg;[];0;
361;MBG (Makan Bergizi Gratis) menerapkan prinsip variasi menu agar kebutuhan nutrisi anak terpenuhi secara beragam. Variasi ini penting untuk mencegah kebosanan sekaligus memastikan asupan gizi lebih lengkap. https://t.co/ljupGXkIEx;2,04933E+18;46141,43135;1okkROCK;in;;0;0;0;0;https://x.com/1okkROCK/status/2049328105517629855;https://pbs.twimg.com/media/HHCtCx_bMAAkWh0.jpg;[];0;
362;Pemerintah memastikan bahwa setiap rupiah dalam anggaran Makan Bergizi Gratis digunakan secara transparan dan akuntabel https://t.co/Ds8tgkBdx3;2,04933E+18;46141,43139;rafaeljohnii;in;;0;0;0;0;https://x.com/rafaeljohnii/status/2049328115365920879;https://pbs.twimg.com/media/HHCtD5NbMAAGh7b.jpg;[];0;
363;Keberlanjutan program Makan Bergizi Gratis adalah tanggung jawab bersama demi mewujudkan Indonesia yang lebih hebat https://t.co/Qar6mYTuli;2,04933E+18;46141,43385;cufyacatro;in;;0;0;0;0;https://x.com/cufyacatro/status/2049329010786943462;https://pbs.twimg.com/media/HHCt4CEbkAACp1b.jpg;[];0;
364;Program Makan Bergizi Gratis tidak hanya memberi makan, tapi juga mengedukasi siswa tentang pentingnya pola makan sehat seumur hidup https://t.co/QElUcnLUBZ;2,04933E+18;46141,43391;cufyacatro;in;;0;0;0;0;https://x.com/cufyacatro/status/2049329029594091955;https://pbs.twimg.com/media/HHCt5HkaUAAWpAU.jpg;[];0;
365;Ekonom Malaysia menyebut program Makan Bergizi Gratis sebagai investasi besar bagi masa depan. Tepat sekali, karena anak yang sehat dan tercukupi gizinya hari ini adalah tenaga produktif dan generasi unggul di masa depan ✊🇮🇩 https://t.co/H9FIdKx1cE;2,04933E+18;46141,43595;xquitavee;in;;0;2;3;7;https://x.com/xquitavee/status/2049329767820988835;https://pbs.twimg.com/media/HHCujzHa8AA4TgA.jpg;[];0;
366;Kepala BGN Ajak Kampus Bangun Dapur Makan Bergizi Gratis https://t.co/QIQHPtr5aR;2,04933E+18;46141,44044;GoRiauCom;in;;0;0;0;0;https://x.com/GoRiauCom/status/2049331396062450146;;[];0;
367;Program Makan Bergizi Gratis (MBG) ternyata punya dampak luar biasa di Papua! Di wilayah pesisir Danau Sentani, semangat anak-anak untuk bersekolah meningkat drastis. https://t.co/b5hvGANphq;2,04933E+18;46141,4466;Wage_Esuk;in;;0;0;0;0;https://x.com/Wage_Esuk/status/2049333627096641858;https://pbs.twimg.com/media/HHCyEZhakAAfZl2.jpg;[];0;
368;Program Makan Bergizi Gratis terbukti efektif meningkatkan kepuasan dan kesejahteraan masyarakat #MBG #MakanBergiziGratis https://t.co/8tZARWlQUg;2,04933E+18;46141,44669;RosaJaanne;in;;0;1;0;1;https://x.com/RosaJaanne/status/2049333663813476590;https://pbs.twimg.com/media/HHCxvIwaQAAlGWV.jpg;[];0;
