No;full_text;username
84;rakor dan bimtek peknas pada tanggal desember di jakarta terkait program makan bergizi gratis mbg acara dihadiri oleh para pengurus dpp dpw dan dpc peknas seluruh indonesia serta badan gizi nasional bgn para vendor dan investor mbg;Urusan_Rasa
85;program makan siang bergizi gratis masih menjadi highlight dari pembicaraan warga indonesia yuk simak pembahasan selengkapnya di;tvOneNews
86;prabowo sebut program makan bergizi gratis bisa putar roda ekonomi desa;officialinews_
87;edan program makan bergizi gratis mbg ini lama tak hanya anggaran perporsinya makin mengecil tapi alokasi anggarannya yg rp triliun pun akan hilang lenyap tdk jelas sebagian besar hati lho pak pres ini anak buah bapak yg tak pinter math atau sedang mbujuk;ferrykoto
88;prabowo janji program makan bergizi gratis akan berdayakan ekonomi pedesaan;fajaronline
89;menteri keuangan mengatakan alokasi pada tahun sebesar rp triliun akan dialokasikan untuk mendukung program prioritas pembangunan yaitu swasembada pangan pendidikan dan kesehatan hingga program makan siang bergizi gratis;Metro_TV
90;presiden prabowo sebut program makan bergizi gratis perkuat ekonomi desa presiden prabowo subianto menegaskan komitmen pemerintah untuk memperkuat ekonomi pedesaan melalui implementasi program makan bergizi gratis mbg pernyataan ini disampaikan prabowo dalam acara penyerahan;akuratco
91;banyak yang penasaran susu ikan bau amis gak sih dalam program makan gratis bergizi prabowo subianto susu ikan jadi sorotan utama yuk simak obrolan seru di big cheese bersama bapak menteri kelautan dan perikanan sakti wahyu trenggono;detikfinance
92;gibran meninjau program makan bergizi gratis di muhammadiyah boarding school bogor seperti apa momennya;detikcom
93;pemerintah siap melaksanakan program makan bergizi gratis mbg mulai januari dalam proses uji coba selama beberapa bulan terakhir pemerintah semakin menemukan format ideal dalam proses pelaksanaan program dari mulai penyediaan bahan baku operasional unit pelayanan;tvOneNews
94;presiden ri ke menyatakan bahwa setiap tahun akan beredar uang dalam jumlah besar di setiap desa melalui program makan bergizi gratis presiden juga berjanji untuk mendistribusikan perputaran uang yang selama ini terkonsentrasi di jakarta ke desadesa guna;__LOVE_AG4EVER
95;alokasi belanja pemerintah pusat rp triliun untuk program makan bergizi gratis hingga pendidikan;pajakcom
96;presiden prabowo subianto menyampaikan bahwa program unggulan makan bergizi gratis dapat meningkatkan peredaran uang di desadesa hingga mencapai rp miliar per desa per tahun hal ini disampaikan dalam gelaran penyerahan daftar isian pelaksanaan anggaran dipa dan transfer ke;Metro_TV
97;pt timah terus berkomitmen mendukung kesehatan anak bangsa melalui program makan bergizi gratis kali ini program menyentuh siswa sd dan tk di kabupaten bangka semangat menciptakan generasi emas dimulai dari piring mereka;Official_TIMAH
98;wakil presiden ri gibran rakabuming raka memastikan program makan bergizi gratis tidak hanya diterapkan di sekolah dan ibu hamil namun juga akan diterapkan di pondok pesantren gibran menyatakan pentingnya kebutuhan gizi para santri terpenuhi khususnya karena mereka tak;RadioElshinta
99;anggaran program makan bergizi gratis capai rp triliun;pajakcom
100;pondok pesantren muhammadiyah boarding school mbs ki bagus hadikusumo sebagai lembaga pendidikan yang berkomitmen penuh terhadap kemajuan peradaban bangsa mengundang wakil presiden gibran rakabuming untuk meninjau simulasi program makan bergizi gratis mbg kegiatan ini;KemensetnegRI
101;kabar baik program makan bergizi gratis bakal diterapkan di pesantren;Beritasatu
102;presiden prabowo subianto mengatakan program makan bergizi gratis yang akan dilaksanakan pemerintah bisa meningkatkan peredaran uang hingga persen di daerah peningkatan itu jika diperbandingkan dengan program dana desa yang memberi rp miliartahun untuk desa;RadioSmartFM
103;wapres gibran sosialisasikan program makan bergizi gratis di pondok pesantren muhammadiyah bogor;Beritasatu
104;presiden prabowo mengumumkan program makan bergizi gratis mbg akan meningkatkan alokasi anggaran ke desadesa sebagai upaya untuk memberdayakan ekonomi di tingkat pedesaan kecamatan hingga provinsi bahkan presiden mengatakan mbg dapat membuat peredaran uang di desa;akuratco
105;padahal menurut prabowo penghematan anggaran itu bisa membangun bendungan irigasi sarana pendidikan serta mendanai program makan bergizi gratis;PaltiHutabarat
106;presiden prabowo subianto mengumumkan bahwa program makan bergizi gratis akan meningkatkan alokasi anggaran ke desadesa hal ini sebagai upaya untuk memberdayakan ekonomi di tingkat pedesaan kecamatan hingga provinsi simak berita selengkapnya hanya di;tvOneNews
107;presiden prabowo subianto mengatakan program makan bergizi gratis mbg merupakan langkah strategis untuk memberdayakan ekonomi di pedesaan hal tersebut disampaikan prabowo saat acara penyerahan daftar isian pelaksanaan anggaran dipa dan buku daftar alokasi transfer ke;tvOneNews
108;kasat binmas polres lumajang melaksanakan kegiatan program makan bergizi gratis yang dilaksanakan di ma putri nurul masyithoh lumajang indonesia;PolsekKunir
109;sri mulyani program makan bergizi gratis dapat menggerakan ekonomi daerah;InvestorID
110;prancis dukung program makan bergizi gratis prabowo;InvestorID
111;bpom kawal program makan bergizi gratis dapur hingga distribusi diawasi lewat com;rakyatpembaruan
112;pemerintah melalui kantor komunikasi kepresidenan meninjau secara langsung kesiapan pelaksanaan program makan bergizi gratis mbg di unit pelayanan mbg tanah sareal bogor jawa barat serta sdn kedung badak dan smp siliwangi kota bogor senin;KompasData
113;kepala bpom temui jaksa agung minta kawal program makan bergizi gratis;CNNIndonesia
114;please bantu isi atau barter kuesioner penelitian sender tentang program makan bergizi gratis mbg kriterianya kayak dibawah ini bolee reply aja yaa nanti sender kirim linknya lewat dm makasi gais;tanyarlfes
115;program makan bergizi gratis membuktikan fleksibilitasnya dengan mengubah fungsi dapur layanan menjadi posko darurat memastikan ratusan ribu korban bencana alam tetap mendapatkan akses pangan sehat dan layak di tengah situasi krisis;PrayogaAditam
116;were hiring dapur sppg mbg yayasan apta peduli bangsa membuka kesempatan bagi kamu yang ingin berkontribusi dalam program makan bergizi gratis untuk masyarakat saat ini kami membuka lowongan untuk posisi ahli gizi kualifikasi utama priawanita minimal;lokerjogja_
117;badan gizi nasional bgn memastikan program makan bergizi gratis mulai berjalan pada awal januari dengan belanja harian mencapai rp miliar kepala bgn dadan hindayana menegaskan satu hari di bulan januari kami akan menggunakan uang rp miliar belanja besar ini;liputan6dotcom
118;seorang pedagang telur bernama stefanus gulo merasa bangga dan bersyukur karena lapak dagangannya dipercaya menjadi salah satu pemasok telur untuk kebutuhan program makan bergizi gratis mbg;cmerconk
119;program makan bergizi gratis di sman pekanbaru berjalan lancar;GoRiauCom
120;puluhan pelajar dari sejumlah sekolah di kecamatan sumberwringin kabupaten bondowoso jawa timur diduga mengalami keracunan setelah mengonsumsi menu program makan bergizi gratis mbg rabu para siswa yang mengalami keluhan langsung dilarikan ke puskesmas;ferizandra
121;siswa dan guru di smp  airmadidi minahasa utara diduga keracunan makan siang gratis data per tanggal november setidaknya rumah sakit di sulawesi utara dijadikan rujukan untuk merawat puluhan siswa yang keracunan pasca menyatap program makan bergizi gratis;lbhmanado
122;babinsa sukolilo dampingi program makan bergizi gratis di sekolah;Dim0830
123;kodim mojokerto bersama bps kota mojokerto menggelar rapat koordinasi dan evaluasi program makan bergizi gratis mbg sebagai wujud sinergi dalam mengawal program strategis nasional;Kodim0815Mjk
124;sinergi tnipolri dukung program makan bergizi gratis bhabinkamtibmas desa tegallalang aiptu  dewa made sandat bersama babinsa sertu  gst arbajaya melaksanakan atensi pendistribusian program makan bergizi gratis mbg tahap  dari sppg tegallalang ke sekolahsekolah;POLSEKTGLL_15
125;polsek sukadana pantau langsung program makan bergizi gratis di smpn sukadana ciamis;djavatodaycom
126;koramil paiton dukung program makan bergizi gratis tingkatkan kesehatan pelajar simak selengkapnya disini;Pendam5
127;bpkp kalteng melaksanakan evaluasi program makan bergizi gratis mbg di kabupaten barito timur guna memastikan kepatuhan pelaksanaan terhadap regulasi dan rencana kerja serta mengidentifikasi permasalahan serta risiko yang menghambat pelaksanaan program mbg;bpkp_kalteng
128;setiap anak berhak tumbuh sehat dan kuat mari dukung program makan bergizi gratis agar mereka bisa belajar dengan penuh energi tersenyum lebih lebar dan meraih masa depan yang lebih cerah;InfoMakan2
129;program makan bergizi gratis mbg beralih fungsi menjadi garda terdepan penyaluran makanan darurat untuk korban bencana di sumatera aceh sumut sumbar ribuan paket makanan bergizi didistribusikan setiap hari untuk memastikan kebutuhan dasar korban terpenuhi;cutewoman__
130;gizi terpenuhi ibu hamil lebih tenang program makan bergizi gratis hadir memastikan kesehatan ibu dan calon bayi terjaga tanpa beban biaya bukti nyata kepedulian pemerintah untuk melahirkan generasi kuat;khaliqbyard215
131;mobil lab keliling dari bpom ini keren banget soalnya langsung turun ke daerah yang susah dijangkau buat pastikan program makan bergizi gratis berjalan aman dan tepat ini contoh nyata kerja senyap tapi ngena buat banyak orang;law_ismylife
132;kepala badan gizi nasional bgn mengungkap peran vital program makan bergizi gratis mbg dalam perekonomian indonesia;tvOneNews
133;polres klungkung melaksanakan pre launching program makan bergizi gratis mbg sppg polres klungkung yang dipusatkan di tk kemala bhayangkari polres klungkung;PKlungkung
134;program makan bergizi gratis ini benarbenar jadi penyelamat untuk banyak ibu hamil mereka nggak lagi harus mikir dua kali soal biaya buat memenuhi kebutuhan gizi hariannya karena semua sudah disiapkan dengan terukur dan seimbang;al_lasan7
135;balai besar obat dan makanan bpom menghadirkan mobil laboratorium untuk mendukung program makan bergizi gratis mbg;jjaprin24
136;bpom menghadirkan mobil laboratorium untuk mendukung program makan bergizi gratis mbg mobil ini menjangkau daerah daerah yang jauh dari jangkauan balai pom guna mendukung program prioritas dari pemerintah;diyarablues
137;inovasi mobil laboratorium keliling bpom siap menjangkau pelosok negeri demi memastikan keamanan pangan program makan bergizi gratis agar anak indonesia tumbuh sehat dan cerdas tanpa rasa khawatir;PrayogaAditam
138;penerapan sistem grading dapur oleh badan gizi nasional bersama lembaga survei independen menjamin standar keamanan pangan yang tinggi demi kesuksesan program makan bergizi gratis tahun depan;PrayogaAditam
139;bpom terus hadir mendukung program makan bergizi gratis mbg dengan mobil laboratorium keliling jangkauan pengawasan pangan kini makin luas hingga pelosok negeri demi asupan yang aman dan bergizi untuk seluruh anak indonesia;berthasintia
140;babinsa koramil samarinda seberang kawal penuh program makan bergizi gratis untuk generasi sehat sertu  syamsudin babinsa kelurahan rapak dalam koramil samarinda seberang aktif mendampingi pelaksanaan program makan bergizi gratis mbg di wilayah binaannya;Kodim0901Smd
141;bpom menghadirkan mobil laboratorium keliling untuk mendukung program makan bergizi gratis mbg langkah ini memastikan keamanan pangan tetap terpantau hingga daerah yang sulit dijangkau inovasi nyata demi kesehatan masyarakat;barisansopan
142;babinsa blimbing pendampingan program makan bergizi gratis di sdn polowijen;Serucoid1
143;sidokkes polres bangli memastikan makanan program makan bergizi gratis aman dan layak dikonsumsi melalui pemeriksaan food safety di sppg polres bangli seluruh sampel makanan dinyatakan bebas bahan kimia berbahaya dan disajikan dalam kondisi higienis sesuai standar;KintamaniPolsek
144;polresta palangka raya hadiri rakor optimalisasi program makan bergizi gratis polresta palangka raya menghadiri rapat koordinasi rakor optimalisasi pelaksanaan program makan bergizi gratis yang digelar di ruang rapat peteng karuhei ii kantor wali kota palangka raya;PolresPalangka
145;polres klungkung gelar prelaunching program makan bergizi gratis di tk kemala bhayangkari klungkung;PKlungkung
146;bpom turun langsung kawal program makan bergizi gratis di solo;IDNTimesJateng
147;presiden prabowo memberi penegasan penting bagi pihakpihak yang meremehkan keberhasilan program makan bergizi gratis kritik boleh ada namun fakta di lapangan tidak bisa diputarbalikkan distribusi masif sudah berjalan dan mencapai juta penerima manfaat setiap hari beliau;oxrth_
148;pemerintah terus memastikan program makan bergizi gratis berjalan lebih rapi dan tepat sasaran temuan dari lapangan langsung diteruskan untuk dibenahi fokusnya sederhana perlindungan anak harus terasa nyata dan merata;bungkusekoran
149;presiden prabowo ungkap juta penerima manfaat program makan bergizi gratis setara kali penduduk singapura hingga menjangkau daerah terpencil;detikcom
150;gibran minta mbg terus dibenahi temuan kpai akan dibawa ke bgn pemerintah memastikan komitmen untuk terus memperbaiki sistem dan pelaksanaan program makan bergizi gratis mbg sebagai bagian dari upaya memperkuat perlindungan anak dan memastikan efektivitas kebijakan prioritas;akuratco
151;program makan bergizi gratis mbg menjadi langkah nyata negara dalam menyiapkan generasi sehat dan berdaya saing melalui pemenuhan gizi sejak dini;Viviviviichan
152;polri terbitkan buku rasa bhayangkara nusantara sebagai rujukan diversifikasi pangan untuk program makan bergizi gratis;car_imar
153;ketum golkar bahlil dorong program makan bergizi gratis untuk pelosok indonesia dirinya menilai program ini penting karena pernah busung lapar;detikcom
154;kpai pantau program makan bergizi gratis di depok memastikan setiap murid bukan cuma kenyang tapi mendapat gizi seimbang amp aman;KPAI_official
155;program makan bergizi gratis mbg bagi ibu hamil ibu menyusui dan balita nonpaud  di desa parakan kecamatan leuwimunding kabupaten majalengka mendapat perhatian masyarakat usai penerima manfaatnya mengalami dugaan keracunan pada kamis insiden ini diduga;ferizandra
156;kepala badan gizi nasional bgn dadan hindayana menargetkan tidak ada orang lagi yang keracunan dalam program makan bergizi gratis mbg;liputan6dotcom
157;presiden prabowo subianto mengumumkan capaian signifikan program makan bergizi gratis mbg yang kini telah menjangkau sekitar juta penerima manfaat setiap harinya;MediaPrabowoID
158;sinergi berbagai pihak membuat program makan bergizi gratis mampu mendistribusikan makanan bergizi secara merata memperkuat kualitas hidup anak;bhinneka_news
159;program makan bergizi gratis mbg akan didistribusikan langsung kepada anak jalanan hingga lansia yang membutuhkan upaya ini layak didukung agar dapat segera terealisasi dan makin banyak yang merasakan manfaatnya;bungkusekoran
160;maklumin aja ges program mbg ini punya kan bisa tiga program mbah bowo gibran program militer banyak gawean guna program makan bergizi gratis;Rebornian48
161;gunungkidul perbarui data penerima program makan bergizi gratis dorong bantuan tepat sasaran;TuguJogja_id
162;program makan bergizi gratis mbg memperkuat masa depan anak bangsa dengan memastikan akses gizi sehat yang merata sekaligus mendorong peningkatan kualitas pendidikan sejak dini;Viviviviichan
163;presiden prabowo subianto mengklaim program makan bergizi gratis mbg sebagai salah satu program terbaik di dunia setelah dalam bulan berhasil menjangkau juta penerima manfaat menurut prabowo capaian ini merupakan prestasi logistik besar karena melebihi brasil yang;RadioElshinta
