token,frekuensi,prob,H_kontribusi
transfer,2,0.00023635,0.00284727
santri,2,0.00023635,0.00284727
lembaga,2,0.00023635,0.00284727
undang,2,0.00023635,0.00284727
banding,2,0.00023635,0.00284727
wapres,2,0.00023635,0.00284727
provinsi,2,0.00023635,0.00284727
hemat,2,0.00023635,0.00284727
berita,2,0.00023635,0.00284727
lumajang,2,0.00023635,0.00284727
komunikasi,2,0.00023635,0.00284727
agung,2,0.00023635,0.00284727
tolong,2,0.00023635,0.00284727
sender,2,0.00023635,0.00284727
fungsi,2,0.00023635,0.00284727
darurat,2,0.00023635,0.00284727
alam,2,0.00023635,0.00284727
situasi,2,0.00023635,0.00284727
yayasan,2,0.00023635,0.00284727
lowong,2,0.00023635,0.00284727
posisi,2,0.00023635,0.00284727
bangga,2,0.00023635,0.00284727
pasca,2,0.00023635,0.00284727
mojokerto,2,0.00023635,0.00284727
bhabinkamtibmas,2,0.00023635,0.00284727
tegallalang,2,0.00023635,0.00284727
sertu,2,0.00023635,0.00284727
sukadana,2,0.00023635,0.00284727
smpn,2,0.00023635,0.00284727
regulasi,2,0.00023635,0.00284727
masalah,2,0.00023635,0.00284727
raih,2,0.00023635,0.00284727
garda,2,0.00023635,0.00284727
sumatera,2,0.00023635,0.00284727
lahir,2,0.00023635,0.00284727
ungkap,2,0.00023635,0.00284727
launching,2,0.00023635,0.00284727
kemala,2,0.00023635,0.00284727
bhayangkari,2,0.00023635,0.00284727
selamat,2,0.00023635,0.00284727
balai,2,0.00023635,0.00284727
obat,2,0.00023635,0.00284727
samarinda,2,0.00023635,0.00284727
seberang,2,0.00023635,0.00284727
lurah,2,0.00023635,0.00284727
bangli,2,0.00023635,0.00284727
higienis,2,0.00023635,0.00284727
polresta,2,0.00023635,0.00284727
optimalisasi,2,0.00023635,0.00284727
ruang,2,0.00023635,0.00284727
wali,2,0.00023635,0.00284727
tegas,2,0.00023635,0.00284727
kritik,2,0.00023635,0.00284727
fakta,2,0.00023635,0.00284727
benah,2,0.00023635,0.00284727
kpai,2,0.00023635,0.00284727
saing,2,0.00023635,0.00284727
lokomotif,2,0.00023635,0.00284727
laku,2,0.00023635,0.00284727
kokoh,2,0.00023635,0.00284727
usia,2,0.00023635,0.00284727
insentif,2,0.00023635,0.00284727
alif,2,0.00023635,0.00284727
rawan,2,0.00023635,0.00284727
pangkal,2,0.00023635,0.00284727
kuras,2,0.00023635,0.00284727
siswasiswi,2,0.00023635,0.00284727
tempat,2,0.00023635,0.00284727
kanan,2,0.00023635,0.00284727
visi,2,0.00023635,0.00284727
tanggung,2,0.00023635,0.00284727
filipina,2,0.00023635,0.00284727
