No,full_text,username,tweet_tokens_stemmed,n_token,n_token_unik,entropy_bit,entropy_max,entropy_norm
230,mobil operasional program makan bergizi gratis mbg menerobos masuk ke halaman sdn kalibaru pagi cilincing jakarta utara dan menabrak orang akibat kejadian ini sebanyak siswa dan guru mengalami luka kepolisian daerah metro jaya menyebut dari total korban,NarasiNewsroom,"['mobil', 'operasional', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'terobos', 'masuk', 'halaman', 'sdn', 'kalibaru', 'pagi', 'cilincing', 'jakarta', 'utara', 'tabrak', 'orang', 'akibat', 'jadi', 'siswa', 'guru', 'alami', 'luka', 'polisi', 'daerah', 'metro', 'jaya', 'sebut', 'total', 'korban']",31,31,4.95419631034215,4.954196310386875,1.0
231,program makan bergizi gratis memberikan energi baru bagi anakanak demi menyongsong masa depan yang sukses dan berguna dukung terus program mbg,Bangsaindo_,"['program', 'makan', 'gizi', 'gratis', 'energi', 'anakanak', 'songsong', 'sukses', 'guna', 'dukung', 'program', 'mbg']",12,11,3.418295834038619,3.4594316186372973,0.988109
232,kukar bhabinkamtibmas polsek anggana briptu zidan nur alif menghadiri kegiatan launching satuan pelayanan pemenuhan gizi sppg dan distribusi perdana program makan bergizi gratis mbg periode  yang digelar di yayasan fimizoe mohammad zulkifli,Polsektenggaro1,"['kukar', 'bhabinkamtibmas', 'polsek', 'anggana', 'briptu', 'zidan', 'nur', 'alif', 'hadir', 'giat', 'launching', 'satu', 'layan', 'penuh', 'gizi', 'sppg', 'distribusi', 'perdana', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'periode', 'gelar', 'yayasan', 'fimizoe', 'mohammad', 'zulkifli']",29,28,4.789015477845797,4.807354922057604,0.996185
233,horor di sd cilincing mobil program makan bergizi gratis nyelonong masuk halaman sekolah korban berjatuhansedih,kalderanews,"['seram', 'sd', 'cilincing', 'mobil', 'program', 'makan', 'gizi', 'gratis', 'nyelonong', 'masuk', 'halaman', 'sekolah', 'korban', 'berjatuhansedih']",14,14,3.807354922037407,3.807354922057604,1.0
234,danrem makutarama tinjau program makan bergizi gratis di smk bina utama kendal,KoremMakutarama,"['danrem', 'makutarama', 'tinjau', 'program', 'makan', 'gizi', 'gratis', 'smk', 'bina', 'utama', 'kendal']",11,11,3.4594316186214273,3.4594316186372973,1.0
235,seluruh pelajar sdn kalibaru jakarta utara langsung dipulangkan menyusul insiden tragis mobil pengangkut program makan bergizi gratis mbg menabrak pelajar kamis hal ini disampaikan turah wakil kepala sekolah sdn kalibaru setelah kejadian siswa yang,SINDOnews,"['ajar', 'sdn', 'kalibaru', 'jakarta', 'utara', 'langsung', 'pulang', 'susul', 'insiden', 'tragis', 'mobil', 'angkut', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'tabrak', 'ajar', 'kamis', 'turah', 'wakil', 'kepala', 'sekolah', 'sdn', 'kalibaru', 'jadi', 'siswa']",28,25,4.593069207735822,4.643856189774724,0.989064
236,sufmi dasco juga menyampaikan apresiasi atas dukungan masyarakat terhadap programprogram pemerintahan presiden prabowo subianto terutama program makan bergizi gratis mbg yang digulirkan untuk membangun generasi muda yang lebih sehat dan kuat,bbahtiarr,"['sufmi', 'dasco', 'apresiasi', 'dukung', 'masyarakat', 'programprogram', 'perintah', 'presiden', 'prabowo', 'subianto', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'gulir', 'bangun', 'generasi', 'muda', 'sehat', 'kuat']",21,21,4.392317422748464,4.392317422778761,1.0
237,program makan bergizi gratis mbg hadir untuk meningkatkan status gizi generasi muda melalui pemberian makanan bergizi gratis dan kolaborasi lintas sektor secara berkelanjutan,ravidnath,"['program', 'makan', 'gizi', 'gratis', 'mbg', 'hadir', 'tingkat', 'status', 'gizi', 'generasi', 'muda', 'beri', 'makan', 'gizi', 'gratis', 'kolaborasi', 'lintas', 'sektor', 'lanjut']",19,15,3.7871439606764996,3.9068905956085187,0.96935
238,babinsa koramil bener dampingi pelaksanaan makan bergizi gratis babinsa koramil bener kodim purworejo melakukan pendampingan pembagian program makan bergizi gratis mbg di sekolahan wilayah binaan,13_bener,"['babinsa', 'koramil', 'benar', 'damping', 'laksana', 'makan', 'gizi', 'gratis', 'babinsa', 'koramil', 'benar', 'kodim', 'purworejo', 'damping', 'bagi', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'sekolah', 'wilayah', 'bina']",23,16,3.914866303860016,4.0,0.978717
239,tragedi mobil pengantar makanan mbg yang tabrak siswa sd di cilincing jakarta utara adalah bentuk kelalaian pemerintah terkait program mbg hentikan program dan evaluasi total program makan bergizi gratis mbg adalah satusatunya cara agar berbagai insiden yang merugikan,konde_co,"['tragedi', 'mobil', 'antar', 'makan', 'mbg', 'tabrak', 'siswa', 'sd', 'cilincing', 'jakarta', 'utara', 'bentuk', 'lalai', 'perintah', 'kait', 'program', 'mbg', 'henti', 'program', 'evaluasi', 'total', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'satusatunya', 'insiden', 'rugi']",29,24,4.4610922018402945,4.584962500721156,0.972983
240,wakil presiden wapres gibran rakabuming raka meminta aparat penegak hukum mengusut tuntas insiden mobil pengangkut makanan program makan bergizi gratis mbg yang menabrak siswa dan guru sdn kalibaru cilincing jakarta utara kamis kecelakaan tersebut,Melihat_Indo,"['wakil', 'presiden', 'wapres', 'gibran', 'rakabuming', 'raka', 'aparat', 'tegak', 'hukum', 'usut', 'tuntas', 'insiden', 'mobil', 'angkut', 'makan', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'tabrak', 'siswa', 'guru', 'sdn', 'kalibaru', 'cilincing', 'jakarta', 'utara', 'kamis', 'celaka']",30,29,4.840223928900015,4.857980995127572,0.996345
241,horor di sd cilincing mobil program makan bergizi gratis nyelonong masuk halaman sekolah korban berjatuhanparah sih drivernya,kalderanews,"['seram', 'sd', 'cilincing', 'mobil', 'program', 'makan', 'gizi', 'gratis', 'nyelonong', 'masuk', 'halaman', 'sekolah', 'korban', 'berjatuhanparah', 'drivernya']",15,15,3.906890595586879,3.9068905956085187,1.0
